,Unnamed: 0,Unnamed: 0.1,id,conversation_id,created_at,date,timezone,place,tweet,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,text,labels
1915,1915,1915,1248313007819517954,1248313007819517954,1586455988000,2020-04-09 23:43:08,530,,""" The world economy after #Corona pendemic ð
#coronavirusinpakistan #CoronaLockdown #economy #lockdown #StayHomeSaveLives pic.twitter.com/B9vJHZpXjF","['#corona', '#coronavirusinpakistan', '#coronalockdown', '#economy', '#lockdown', '#stayhomesavelives']",[],463772087,463772087,ImUmairShahzad,UmaÄ±r Åhahzad ðµð°,4,23,https://twitter.com/ImUmairShahzad/status/1248313007819517954,False,5,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '463772087', 'username': 'ImUmairShahzad'}]",,,,,,-1
3639,3639,3639,1250484767528632320,1250484767528632320,1586973776000,2020-04-15 23:32:56,530,,"I Wish to have 1 Dream fulfilled by locking down #FinanceGurus together @CitiznMukherjee @POI13 , @PManmohansingh @arunjaitley @PChidambaram_IN @RaghuramRRajan. #economy will be on track before 3rd May Lockdown Opens.@RBI @FinMinIndia @PMOIndia @narendramodi @COVIDNewsByMIB ð pic.twitter.com/zq6FDeAxRr","['#financegurus', '#economy']",[],107126411,107126411,lokeshscorpio,Lokesh Chawla,3,23,https://twitter.com/lokeshscorpio/status/1250484767528632320,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '107126411', 'username': 'lokeshscorpio'}, {'user_id': '885490328232382464', 'username': 'CitiznMukherjee'}, {'user_id': '2597413135', 'username': 'POI13'}, {'user_id': '735889095960997888', 'username': 'PManmohansingh'}, {'user_id': '2183816041', 'username': 'arunjaitley'}, {'user_id': '3097503906', 'username': 'PChidambaram_IN'}, {'user_id': '972334769747865600', 'username': 'RaghuramRRajan'}, {'user_id': '478432912', 'username': 'RBI'}, {'user_id': '2613904818', 'username': 'FinMinIndia'}, {'user_id': '471741741', 'username': 'PMOIndia'}, {'user_id': '18839785', 'username': 'narendramodi'}, {'user_id': '1244892413262311425', 'username': 'COVIDNewsByMIB'}]",,,,,,1
4279,4279,4279,1251214246307942400,1251214246307942400,1587147697000,2020-04-17 23:51:37,530,,"#CoronaVirus  taught us #sanitizer #SocialDistancing #lockdown #TogetherAtHome #StayHome #StaySafeStayHome #salutecoronawarriors #Covid_19 #economy #Doctors #RedZone #orangezone #greenzone #globalfightagainstcorona #PPE #PMCaresFunds @SetuAarogya
ð®ð³ ðð @WHO @PMOIndia pic.twitter.com/SzrNF4Zhns","['#coronavirus', '#sanitizer', '#socialdistancing', '#lockdown', '#togetherathome', '#stayhome', '#staysafestayhome', '#salutecoronawarriors', '#covid_19', '#economy', '#doctors', '#redzone', '#orangezone', '#greenzone', '#globalfightagainstcorona', '#ppe', '#pmcaresfunds']",[],802008354310811648,802008354310811648,PradeepPulpTech,ð®ð³ Engineer Pradeep Kumar Gupta,5,23,https://twitter.com/PradeepPulpTech/status/1251214246307942400,False,2,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '802008354310811648', 'username': 'PradeepPulpTech'}, {'user_id': '1246035397198528515', 'username': 'SetuAarogya'}, {'user_id': '14499829', 'username': 'WHO'}, {'user_id': '471741741', 'username': 'PMOIndia'}]",,,,,,-1
4130,4130,4130,1250840547641548800,1250840547641548800,1587058600000,2020-04-16 23:06:40,530,,The Covid-19 crisis has highlighted the need to deeply listen to the wisdom and ingenuity of our entrepreneurs and communities. Letâs listen to #VoicesfromtheGround and #StoriesofResilience @DAperspectives @FundlaCaixa #work4progresslacaixa #JobsWeMake https://twitter.com/taniya1023/status/1250835564632264704Â â¦,"['#voicesfromtheground', '#storiesofresilience', '#work4progresslacaixa', '#jobswemake']",[],871736157876387840,871736157876387840,Vrindatalks,Vrinda C,4,23,https://twitter.com/Vrindatalks/status/1250840547641548800,False,2,0,0,https://twitter.com/taniya1023/status/1250835564632264704,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '871736157876387840', 'username': 'Vrindatalks'}, {'user_id': '1687691904', 'username': 'DAperspectives'}, {'user_id': '154202585', 'username': 'FundlaCaixa'}]",,,,,,0
1270,1270,1270,1247223416328867840,1247223416328867840,1586196209000,2020-04-06 23:33:29,530,,"WE SALUTE CORONA WARRIORS

graphicdesigninjaipur #webdesigninjaipur #WebDevelopment #businesslogo #graphicdesign #ecommercewebsite #corporateidentity #logodesign #logotrademark #productcatalogue  studio@dotndash.com pic.twitter.com/Z5BckehiZe","['#webdesigninjaipur', '#webdevelopment', '#businesslogo', '#graphicdesign', '#ecommercewebsite', '#corporateidentity', '#logodesign', '#logotrademark', '#productcatalogue']",[],435030243,435030243,dotndashgraphic,Dotndashgraphics,1,23,https://twitter.com/dotndashgraphic/status/1247223416328867840,False,2,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '435030243', 'username': 'dotndashgraphic'}]",,,,,,1
2429,2429,2429,1249038599527395331,1249038599527395331,1586628982000,2020-04-11 23:46:22,530,,"Save yourself from loosing your audience this lockdown.Letâs build new audience to your brand.
 http://www.fixlsolutions.comÂ 
#lockdown #businessopportunity #onlinemarketing #Easter #fixlsolutions #stayhome #workfromhome #programming #innovation #newtechnology #Brand #EasterWeekend pic.twitter.com/SN5cpu2Gix","['#lockdown', '#businessopportunity', '#onlinemarketing', '#easter', '#fixlsolutions', '#stayhome', '#workfromhome', '#programming', '#innovation', '#newtechnology', '#brand', '#easterweekend']",[],903186016705679360,903186016705679360,Fixlsolutions,Fixl,6,23,https://twitter.com/Fixlsolutions/status/1249038599527395331,False,2,0,3,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '903186016705679360', 'username': 'Fixlsolutions'}]",,,,,,-1
3838,3838,3838,1250476182245539842,1250476182245539842,1586971729000,2020-04-15 22:58:49,530,,To much workload work from home stay safe stay home #webdeveloper #socialmediamarketing #instagram #facebook #jaingraphic #graphic_explorer #projectmanager #client #indore #mumbai #bhopal #business #corona #covid19 #china #usa #dubai #digitallyyours pic.twitter.com/lzMdiVXh03,"['#webdeveloper', '#socialmediamarketing', '#instagram', '#facebook', '#jaingraphic', '#graphic_explorer', '#projectmanager', '#client', '#indore', '#mumbai', '#bhopal', '#business', '#corona', '#covid19', '#china', '#usa', '#dubai', '#digitallyyours']",[],1097693600366948354,1097693600366948354,ExplorerGraphic,Graphic_explorer,3,22,https://twitter.com/ExplorerGraphic/status/1250476182245539842,False,1,1,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1097693600366948354', 'username': 'ExplorerGraphic'}]",,,,,,1
3981,3981,3981,1250846269481848835,1250846269481848835,1587059964000,2020-04-16 23:29:24,530,, https://youtu.be/muItKCWW63oÂ  MSME #BusinessContinuity after #Covid_19 #Lockdown #BusinessGrowth #startup @narendramodi @PiyushGoyal @girirajsinghbjp @upmsme @FollowCII @nsitharaman @ianuragthakur,"['#businesscontinuity', '#covid_19', '#lockdown', '#businessgrowth', '#startup']",[],1180362975523196930,1180362975523196930,shaileshbrahm,Shailesh Tiwari #VeerSavarkar,4,23,https://twitter.com/shaileshbrahm/status/1250846269481848835,False,0,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1180362975523196930', 'username': 'shaileshbrahm'}, {'user_id': '18839785', 'username': 'narendramodi'}, {'user_id': '1324334436', 'username': 'PiyushGoyal'}, {'user_id': '1642669674', 'username': 'girirajsinghbjp'}, {'user_id': '861569052099084288', 'username': 'upmsme'}, {'user_id': '86479411', 'username': 'FollowCII'}, {'user_id': '58243368', 'username': 'nsitharaman'}, {'user_id': '381949397', 'username': 'ianuragthakur'}]",,,,,,-1
4369,4369,4369,1251209639925919746,1251209639925919746,1587146599000,2020-04-17 23:33:19,530,,"Does Your Business Need Attention?

Contact :-
@ritesh_kumar_bhanu
Call us: (+91)-7248805346
Mail us: Info@techritesh.in
Website:  http://www.techritesh.inÂ 
#infotechritesh #techritesh #riteshkumarbhanu #business #it #COVID-19 #offline #online #startupbusiness #StartupsVsCovid19 pic.twitter.com/m6Mff9uj9n","['#infotechritesh', '#techritesh', '#riteshkumarbhanu', '#business', '#it', '#covid', '#offline', '#online', '#startupbusiness', '#startupsvscovid19']",[],2645845631,2645845631,ritesh_kr_bhanu,RITESH KUMAR BHANU ð,5,23,https://twitter.com/ritesh_kr_bhanu/status/1251209639925919746,False,2,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2645845631', 'username': 'ritesh_kr_bhanu'}]",,,,,,1
1915,1915,1915,1248313007819517954,1248313007819517954,1586455988000,2020-04-09 23:43:08,530,,""" The world economy after #Corona pendemic ð
#coronavirusinpakistan #CoronaLockdown #economy #lockdown #StayHomeSaveLives pic.twitter.com/B9vJHZpXjF","['#corona', '#coronavirusinpakistan', '#coronalockdown', '#economy', '#lockdown', '#stayhomesavelives']",[],463772087,463772087,ImUmairShahzad,UmaÄ±r Åhahzad ðµð°,4,23,https://twitter.com/ImUmairShahzad/status/1248313007819517954,False,5,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '463772087', 'username': 'ImUmairShahzad'}]",,,,,,-1
