,Unnamed: 0,excel,id,conversation_id,created_at,date,timezone,place,text,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,labels
799,799,799,1.25e+18,1.25e+18,1587410000000.0,20-04-2020 23:53,530,,"WTI May contract trading negative. We are witnessing history. #OilPrices
WTI Crude just went to 99 cents. Less then a $1...... #pandemic #economy #OilPrice pic.twitter.com/iDIzubmkNJ","['#oilprices', '#pandemic', '#economy', '#oilprice']",[],2269047601.0,2269047601.0,murtaza_bozdar,Ali Murtaza Bozdar #StayHomeSaveLives,1,23,https://twitter.com/murtaza_bozdar/status/1252301927137906688,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2269047601', 'username': 'murtaza_bozdar'}]",,,,,wti   may   contract   trade   neg   wit   histori   oilpric   wti   crude   went   cent   le   pandem   economi   oilpric  ,-1
808,808,808,1.25e+18,1.25e+18,1587410000000.0,20-04-2020 23:51,530,,"WTI May contract trading negative. We are witnessing history. #OilPrices
WTI Crude just went to 99 cents. Less then a $1...... #pandemic #economy #OilPrice pic.twitter.com/LG0gonLgUR","['#oilprices', '#pandemic', '#economy', '#oilprice']",[],2269047601.0,2269047601.0,murtaza_bozdar,Ali Murtaza Bozdar #StayHomeSaveLives,1,23,https://twitter.com/murtaza_bozdar/status/1252301494172426245,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2269047601', 'username': 'murtaza_bozdar'}]",,,,,wti   may   contract   trade   neg   wit   histori   oilpric   wti   crude   went   cent   le   pandem   economi   oilpric  ,-1
839,839,839,1.25e+18,1.25e+18,1587410000000.0,20-04-2020 23:44,530,,"#Crude oil! Lets see how much plunge you can take
#coronavirus #Recession #Pandemic #EconomicCrisis #economy","['#crude', '#coronavirus', '#recession', '#pandemic', '#economiccrisis', '#economy']",[],338469327.0,338469327.0,iamadarsha,Adarsha Chatterjee,1,23,https://twitter.com/iamadarsha/status/1252299620841066504,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '338469327', 'username': 'iamadarsha'}]",,,,,crude   oil   let   see   much   plung   take   coronaviru   recess   pandem   economiccrisi   economi  ,-1
1613,1613,1613,1.25e+18,1.25e+18,1587580000000.0,22-04-2020 23:53,530,,"Creating #vaccination for #Covid_19 is the only solution to this grave problem

Let's hope #humanlives and #economy both could be saved before it's too late https://twitter.com/WIONews/status/1253025778087997440Â â¦","['#vaccination', '#covid_19', '#humanlives', '#economy']",[],2905160815.0,2905160815.0,dashinganurag83,Anurag Vijay,3,23,https://twitter.com/dashinganurag83/status/1253026657905991681,False,0,0,0,https://twitter.com/WIONews/status/1253025778087997440,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2905160815', 'username': 'dashinganurag83'}]",,,,,creat   vaccin   covid   solut   grave   problem   let   hope   humanl   economi   could   save   late  ,-1
3349,3349,3349,1.25e+18,1.25e+18,1587920000000.0,26-04-2020 23:01,530,,"#economy derailed in a wasted #lockdown, double whammy in #lockdown #extension. A disrupted healthcare system for all #noncovid patients including cancer, cardiac, tuberculosis, malaria that kill more in India than #Covid_19. Supply chains are toast. But letâs celebrate! 5/5","['#economy', '#lockdown', '#lockdown', '#extension', '#noncovid', '#covid_19']",[],550382928.0,550382928.0,IndiaKravMaga,Kravmaga Mumbai,7,23,https://twitter.com/IndiaKravMaga/status/1254463209744056320,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '550382928', 'username': 'IndiaKravMaga'}]",,,,,economi   derail   wast   lockdown   doubl   whammi   lockdown   extens   disrupt   healthcar   system   noncovid   patient   includ   cancer   cardiac   tuberculosi   malaria   kill   india   covid   suppli   chain   toast   let   celebr  ,-1
1175,1175,1175,1.25e+18,1.25e+18,1587490000000.0,21-04-2020 23:56,530,,"To whomsoever it may concern,
I'm a finalyear student, due to this pandemic my job offer has been withdrawn, the reason is ""uncertain economic future"" I agree it's tough time going on, but it's not fair to withdraw the job offer help the students
#justice
#employment
#jobsecurity","['#justice', '#employment', '#jobsecurity']",[],1.13e+18,1.13e+18,RajasSurve1,Rajas Surve,2,23,https://twitter.com/RajasSurve1/status/1252664909596200960,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1127643498281181184', 'username': 'RajasSurve1'}]",,,,,whomsoev   may   concern   finalyear   student   due   pandem   job   offer   withdrawn   reason   uncertain   econom   futur   agre   tough   time   go   fair   withdraw   job   offer   help   student   justic   employ   jobsecur  ,1
2684,2684,2684,1.25e+18,1.25e+18,1587750000000.0,24-04-2020 23:07,530,,"Loss is only temporary when you believe in Godâ¥ï¸
#depression #Bengaluru #YouthWithYou #lifeafterlockup #Corona #peace #Jobseeker #GujaratCoronaUpdate #ARMY #HealthCareWorkers #Karnataka #student #lockdown #level4lockdown #Nifty #QuarentineLife #TamilNadu #vaccine #India #love pic.twitter.com/qmIdEQtTOV","['#depression', '#bengaluru', '#youthwithyou', '#lifeafterlockup', '#corona', '#peace', '#jobseeker', '#gujaratcoronaupdate', '#army', '#healthcareworkers', '#karnataka', '#student', '#lockdown', '#level4lockdown', '#nifty', '#quarentinelife', '#tamilnadu', '#vaccine', '#india', '#love']",[],1.24e+18,1.24e+18,yours_abhi_shek,Abhishek,5,23,https://twitter.com/yours_abhi_shek/status/1253739752362147841,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1240703123850530816', 'username': 'yours_abhi_shek'}]",,,,,loss   temporari   believ   god   depress   bengaluru   youthwithy   lifeafterlockup   corona   peac   jobseek   gujaratcoronaupd   armi   healthcarework   karnataka   student   lockdown   levellockdown   nifti   quarentinelif   tamilnadu   vaccin   india   love  ,1
4350,4350,4350,1.26e+18,1.26e+18,1588180000000.0,29-04-2020 23:29,530,,"NEW JOBS AND OPPORTUNITIES AFTER LOCKDOWN
#IrrfanKhan
#ripirfankhan
#CheckmateCOVID #OuterBanks #MyTwitterAnniversary #podcast,#Bollywood #à¤à¤°à¤«à¤¾à¤¨à¤à¤¾à¤¨ #Legend #Irrfan #Ramadan2020 #coronavirus #Job #jobsearch  Fazeel , on @anchor: https://anchor.fm/riseup-educationÂ â¦","['#irrfankhan', '#ripirfankhan', '#checkmatecovid', '#outerbanks', '#mytwitteranniversary', '#podcast', '#bollywood', '#à¤à¤°à¤«à¤¾à¤¨à¤à¤¾à¤¨', '#legend', '#irrfan', '#ramadan2020', '#coronavirus', '#job', '#jobsearch']",[],435973082.0,435973082.0,fazeelkhan7,Fazeel,3,23,https://twitter.com/fazeelkhan7/status/1255557213176967168,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '435973082', 'username': 'fazeelkhan7'}, {'user_id': '3044472165', 'username': 'anchor'}]",,,,,new   job   opportun   lockdown   irrfankhan   ripirfankhan   checkmatecovid   outerbank   mytwitteranniversari   podcast   bollywood   legend   irrfan   ramadan   coronaviru   job   jobsearch   fazeel  ,1
1175,1175,1175,1.25e+18,1.25e+18,1587490000000.0,21-04-2020 23:56,530,,"To whomsoever it may concern,
I'm a finalyear student, due to this pandemic my job offer has been withdrawn, the reason is ""uncertain economic future"" I agree it's tough time going on, but it's not fair to withdraw the job offer help the students
#justice
#employment
#jobsecurity","['#justice', '#employment', '#jobsecurity']",[],1.13e+18,1.13e+18,RajasSurve1,Rajas Surve,2,23,https://twitter.com/RajasSurve1/status/1252664909596200960,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1127643498281181184', 'username': 'RajasSurve1'}]",,,,,whomsoev   may   concern   finalyear   student   due   pandem   job   offer   withdrawn   reason   uncertain   econom   futur   agre   tough   time   go   fair   withdraw   job   offer   help   student   justic   employ   jobsecur  ,1
776,776,776,1.25e+18,1.25e+18,1587410000000.0,20-04-2020 23:57,530,,"Oil Plunges Below Zero for First Time with May Contract Ending!

#Crude #Oil #OPEC
#Coronavirus #COVID19
#Pandemic
#Bloomberg #Businessweekâ¦  https://www.instagram.com/p/B_NnT6Xl0w0/?igshid=1brp98fdkts3bÂ â¦","['#crude', '#oil', '#opec', '#coronavirus', '#covid19', '#pandemic', '#bloomberg', '#businessweek']",[],102857285.0,102857285.0,prasenjit_dbroy,PRASENJIT DEBROY,1,23,https://twitter.com/prasenjit_dbroy/status/1252302954239012864,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '102857285', 'username': 'prasenjit_dbroy'}]",,,,,oil   plung   zero   first   time   may   contract   end   crude   oil   opec   coronaviru   covid   pandem   bloomberg   businessweek  ,-1
