,Unnamed: 0,excel,id,conversation_id,created_at,date,timezone,place,text,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,labels
435,435,435,1.25e+18,1.25e+18,1587320000000.0,19-04-2020 23:54,530,,"Almost everyday we are watching your press conference Mr @ArvindKejriwal @raghav_chadha @msisodia but,in this video #Doctors r suffering due to bad meals in this #Covid19India pandemic. Please looking to the same @LtGovDelhi @MoHFW_INDIA @HMOIndia  https://www.facebook.com/groups/100crorehindugroup/permalink/1301465903529273/Â â¦","['#doctors', '#covid19india']",[],127827443.0,127827443.0,prabal_twit,Prabal Bhura,7,23,https://twitter.com/prabal_twit/status/1251939695807717376,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '127827443', 'username': 'prabal_twit'}, {'user_id': '405427035', 'username': 'ArvindKejriwal'}, {'user_id': '98815583', 'username': 'raghav_chadha'}, {'user_id': '30417501', 'username': 'msisodia'}, {'user_id': '815473030868545537', 'username': 'LtGovDelhi'}, {'user_id': '2596143056', 'username': 'MoHFW_INDIA'}, {'user_id': '2541363451', 'username': 'HMOIndia'}]",,,,,almost   everyday   watch   press   confer   mr   video   doctor   r   suffer   due   bad   meal   covidindia   pandem   pleas   look  ,-1
953,953,953,1.25e+18,1.25e+18,1587410000000.0,20-04-2020 23:21,530,,Fighting a different kinda war! @IAF_MCC @adgpi #IndianAirForce #India #Covid19India #Covid_19India #Covid_19  https://twitter.com/IAF_MCC/status/1252226240154501122Â â¦,"['#indianairforce', '#india', '#covid19india', '#covid_19india', '#covid_19']",[],4267952294.0,4267952294.0,MeghnaCDavid,Meghna Carmen David,1,23,https://twitter.com/MeghnaCDavid/status/1252293895792160768,False,0,0,0,https://twitter.com/IAF_MCC/status/1252226240154501122,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '4267952294', 'username': 'MeghnaCDavid'}, {'user_id': '784705308832694272', 'username': 'IAF_MCC'}, {'user_id': '1227253801', 'username': 'adgpi'}]",,,,,fight   differ   kinda   war   indianairforc   india   covidindia   covid   india   covid  ,-1
1064,1064,1064,1.25e+18,1.25e+18,1587400000000.0,20-04-2020 23:00,530,,"15000 Active cases as of April 20th - 13 more days of complete lockdown. The curve is not flattening yet . Why? 
#gujrat #Maharashtra #TamilNadu #madhyapradesh #delhi #UttarPradesh @PMOIndia #COVID19india pic.twitter.com/kBMizTT96x","['#gujrat', '#maharashtra', '#tamilnadu', '#madhyapradesh', '#delhi', '#uttarpradesh', '#covid19india']",[],19068237.0,19068237.0,Deepz999,Deepesh,1,23,https://twitter.com/Deepz999/status/1252288613066260490,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '19068237', 'username': 'Deepz999'}, {'user_id': '471741741', 'username': 'PMOIndia'}]",,,,,activ   case   april   th   day   complet   lockdown   curv   flatten   yet   gujrat   maharashtra   tamilnadu   madhyapradesh   delhi   uttarpradesh   covidindia  ,-1
1855,1855,1855,1.25e+18,1.25e+18,1587580000000.0,22-04-2020 23:15,530,,#pathetic #hypocrisy #media end of the day #business houses simply wants to earn money. No respect for #lif #Covid19India #COVID  https://twitter.com/thewire_in/status/1252477832124461056Â â¦,"['#pathetic', '#hypocrisy', '#media', '#business', '#lif', '#covid19india', '#covid']",[],1e+18,1e+18,billa_bong110,Protim,3,23,https://twitter.com/billa_bong110/status/1253016990886682624,False,0,0,0,https://twitter.com/thewire_in/status/1252477832124461056,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1000034338795282432', 'username': 'billa_bong110'}]",,,,,pathet   hypocrisi   medium   end   day   busi   hous   simpli   want   earn   money   respect   lif   covidindia   covid  ,0
1865,1865,1865,1.25e+18,1.25e+18,1587580000000.0,22-04-2020 23:12,530,,Mortality rate of Gujarat is highest among all states due to #covid19. Gujarat is on 2nd position in that list. Take action @PMOIndia @CMOGuj #Covid19India #coronavirusinindia #India #Gujarat #corona #COVID2019india #COVIDã¼19 #COVID #COVID19Pandemic,"['#covid19', '#covid19india', '#coronavirusinindia', '#india', '#gujarat', '#corona', '#covid2019india', '#covidã¼19', '#covid', '#covid19pandemic']",[],7.76e+17,7.76e+17,mohta_yash,Yash Mohta,3,23,https://twitter.com/mohta_yash/status/1253016412681052161,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '775651579047219200', 'username': 'mohta_yash'}, {'user_id': '471741741', 'username': 'PMOIndia'}, {'user_id': '765535468104585217', 'username': 'CMOGuj'}]",,,,,mortal   rate   gujarat   highest   among   state   due   covid   gujarat   nd   posit   list   take   action   covidindia   coronavirusinindia   india   gujarat   corona   covidindia   covid   covid   covidpandem  ,-1
1883,1883,1883,1.25e+18,1.25e+18,1587580000000.0,22-04-2020 23:08,530,,"Why people are looking answers of COVID2019 in Vaccines? Why no body is paying attention to the fact that what serious damages we have done to our own biology, environment, food, lifestyle and mindset. Time for us to go back to our roots. #coronavirus #India #Covid19India pic.twitter.com/nX8fZ76Avj","['#coronavirus', '#india', '#covid19india']",[],3226037838.0,3226037838.0,rhpositive6,Prashantt J Wadhaawan ð®ð³,3,23,https://twitter.com/rhpositive6/status/1253015409823014912,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '3226037838', 'username': 'rhpositive6'}]",,,,,peopl   look   answer   covid   vaccin   bodi   pay   attent   fact   seriou   damag   done   biolog   environ   food   lifestyl   mindset   time   u   go   back   root   coronaviru   india   covidindia  ,-1
1930,1930,1930,1.25e+18,1.25e+18,1587580000000.0,22-04-2020 22:58,530,,"Galileo was Wrong

Earth is revolving around #Corona, not around Sun

Earth > not heliocentric,#COVID centric 
#EarthDay2020 #EarthDay50 #EarthDayAtHome #environment #Indian #coronavirus #Covid19India #Mumbai #lockdown  pic.twitter.com/HQ2IGGI1XV","['#corona', '#covid', '#earthday2020', '#earthday50', '#earthdayathome', '#environment', '#indian', '#coronavirus', '#covid19india', '#mumbai', '#lockdown']",[],1.18e+18,1.18e+18,MonishChavan2,Monish Chavan,3,22,https://twitter.com/MonishChavan2/status/1253012860239851522,False,3,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1181196542432047104', 'username': 'MonishChavan2'}]",,,,,galileo   wrong   earth   revolv   around   corona   around   sun   earth   heliocentr   covid   centric   earthday   earthday   earthdayathom   environ   indian   coronaviru   covidindia   mumbai   lockdown  ,-1
2026,2026,2026,1.25e+18,1.25e+18,1587670000000.0,23-04-2020 23:57,530,,Practicing social distancing. Stay st hone protect yourself and everyone you love. #GoCoronaGo #COVID19india #AloneTogether #CoronavirusIndia #lockdown #Narendra_Modi_ji #NarendraModi #ShivrajSinghChouhan pic.twitter.com/dtWjlb6K50,"['#gocoronago', '#covid19india', '#alonetogether', '#coronavirusindia', '#lockdown', '#narendra_modi_ji', '#narendramodi', '#shivrajsinghchouhan']",[],8.6e+17,8.6e+17,DdDubeydiksha98,Dikshað,4,23,https://twitter.com/DdDubeydiksha98/status/1253390040907935746,False,3,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '859627064747593730', 'username': 'DdDubeydiksha98'}]",,,,,practic   social   distanc   stay   st   hone   protect   everyon   love   gocoronago   covidindia   alonetogeth   coronavirusindia   lockdown   narendra   modi   ji   narendramodi   shivrajsinghchouhan  ,-1
2234,2234,2234,1.25e+18,1.25e+18,1587660000000.0,23-04-2020 23:13,530,,"Good News,
More than 5000 people back home after beating Corona.

#IndiaFightsCoronavirus
#à¤à¥à¤°à¥à¤¨à¤¾_à¤µà¤¾à¤¯à¤°à¤¸
#Covid19India
#COVIDIOTS
#COVID19
#IndiaFightsCOVID19
#isupportarnabgosawami
#IStandWithArnab
#ISupportArnab
#IsupportArnabGoswami
#Covid_19india
#CoronavirusIndia","['#indiafightscoronavirus', '#à¤à¥à¤°à¥à¤¨à¤¾_à¤µà¤¾à¤¯à¤°à¤¸', '#covid19india', '#covidiots', '#covid19', '#indiafightscovid19', '#isupportarnabgosawami', '#istandwitharnab', '#isupportarnab', '#isupportarnabgoswami', '#covid_19india', '#coronavirusindia']",[],414047427.0,414047427.0,noidafoodie,Avi Chauhan,4,23,https://twitter.com/noidafoodie/status/1253379045724569601,False,0,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '414047427', 'username': 'noidafoodie'}]",,,,,good   news   peopl   back   home   beat   corona   indiafightscoronaviru   covidindia   covidiot   covid   indiafightscovid   isupportarnabgosawami   istandwitharnab   isupportarnab   isupportarnabgoswami   covid   india   coronavirusindia  ,-1
2278,2278,2278,1.25e+18,1.25e+18,1587660000000.0,23-04-2020 23:04,530,,"#Covid19India #India_Lead_World
India to get lead role at WHO next month amid global Covid-19 crisis

 https://www.hindustantimes.com/india-news/india-to-get-lead-role-at-who-next-month-amid-global-covid-19-crisis/story-8DfVkLrQdoYYjQFns0mvUJ.htmlÂ â¦

Sent from Hindustan Times Android App.","['#covid19india', '#india_lead_world']",[],110937217.0,110937217.0,devdikar_viraj,VIRAJ V DEVDIKAR ð®ð³,4,23,https://twitter.com/devdikar_viraj/status/1253376598322995201,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '110937217', 'username': 'devdikar_viraj'}]",,,,,covidindia   india   lead   world   india   get   lead   role   next   month   amid   global   covid   crisi   sent   hindustan   time   android   app  ,-1
