,Unnamed: 0,day,label positive,label negative,label neutral,name
0,0.0,2020-03-29,18,38,20,Lockdown 1.0
1,1.0,2020-03-30,11,11,1,Lockdown 1.0
2,2.0,2020-03-31,16,32,10,Lockdown 1.0
3,3.0,2020-04-01,42,86,21,Lockdown 1.0
4,4.0,2020-04-02,40,105,44,Lockdown 1.0
5,5.0,2020-04-03,68,157,67,Lockdown 1.0
6,6.0,2020-04-04,75,147,78,Lockdown 1.0
7,7.0,2020-04-05,3,9,4,Lockdown 1.0
8,8.0,2020-04-06,59,80,54,Lockdown 1.0
9,9.0,2020-04-07,84,129,76,Lockdown 1.0
10,10.0,2020-04-08,94,82,39,Lockdown 1.0
11,11.0,2020-04-09,101,125,78,Lockdown 1.0
12,12.0,2020-04-10,59,100,60,Lockdown 1.0
13,13.0,2020-04-11,90,97,54,Lockdown 1.0
14,14.0,2020-04-12,87,163,93,Lockdown 1.0
15,15.0,2020-04-13,89,139,79,Lockdown 1.0
16,16.0,2020-04-14,111,108,70,Lockdown 1.0
17,17.0,2020-04-15,94,152,83,Lockdown 1.0
18,18.0,2020-04-16,92,188,113,Lockdown 1.0
19,19.0,2020-04-17,98,143,97,Lockdown 1.0
20,,2020-04-18,101,205,96,Lockdown 2.0
21,,2020-04-19,87,177,99,Lockdown 2.0
22,,2020-04-20,102,171,114,Lockdown 2.0
23,,2020-04-21,114,175,144,Lockdown 2.0
24,,2020-04-22,113,202,104,Lockdown 2.0
25,,2020-04-23,105,175,98,Lockdown 2.0
26,,2020-04-24,80,135,89,Lockdown 2.0
27,,2020-04-25,109,178,75,Lockdown 2.0
28,,2020-04-26,112,132,78,Lockdown 2.0
29,,2020-04-27,133,183,132,Lockdown 2.0
30,,2020-04-28,137,188,99,Lockdown 2.0
31,,2020-04-29,157,208,134,Lockdown 2.0
32,,2020-04-30,136,167,119,Lockdown 2.0
33,,2020-05-01,69,105,64,Lockdown 2.0
34,,2020-05-02,104,152,86,Lockdown 2.0
35,,2020-05-04,139,185,87,Lockdown 3.0
36,,2020-05-05,130,167,100,Lockdown 3.0
37,,2020-05-06,152,238,148,Lockdown 3.0
38,,2020-05-07,136,162,102,Lockdown 3.0
39,,2020-05-08,184,231,133,Lockdown 3.0
40,,2020-05-09,133,220,106,Lockdown 3.0
41,,2020-05-10,177,234,135,Lockdown 3.0
42,,2020-05-11,154,246,121,Lockdown 3.0
43,,2020-05-12,161,258,141,Lockdown 3.0
44,,2020-05-13,152,260,162,Lockdown 3.0
45,,2020-05-14,169,219,127,Lockdown 3.0
46,,2020-05-15,149,219,113,Lockdown 3.0
47,,2020-05-16,169,247,160,Lockdown 3.0
48,,2020-05-18,146,228,107,Lockdown 4.0
49,,2020-05-19,145,221,151,Lockdown 4.0
50,,2020-05-20,192,232,134,Lockdown 4.0
51,,2020-05-21,163,247,194,Lockdown 4.0
52,,2020-05-22,180,292,170,Lockdown 4.0
53,,2020-05-23,190,274,140,Lockdown 4.0
54,,2020-05-24,244,294,143,Lockdown 4.0
55,,2020-05-25,201,299,177,Lockdown 4.0
56,,2020-05-26,177,296,202,Lockdown 4.0
57,,2020-05-27,203,305,167,Lockdown 4.0
58,,2020-05-28,218,283,185,Lockdown 4.0
59,,2020-05-29,187,270,143,Lockdown 4.0
60,,2020-05-30,213,264,187,Lockdown 4.0
