,day,label positive,label negative,label neutral,name
0,2020-03-29,18,38,20,Lockdown 1.0
1,2020-03-30,11,11,1,Lockdown 1.0
2,2020-03-31,16,32,10,Lockdown 1.0
3,2020-04-01,42,86,21,Lockdown 1.0
4,2020-04-02,40,105,44,Lockdown 1.0
5,2020-04-03,68,157,67,Lockdown 1.0
6,2020-04-04,75,147,78,Lockdown 1.0
7,2020-04-05,3,9,4,Lockdown 1.0
8,2020-04-06,59,80,54,Lockdown 1.0
9,2020-04-07,84,129,76,Lockdown 1.0
10,2020-04-08,94,82,39,Lockdown 1.0
11,2020-04-09,101,125,78,Lockdown 1.0
12,2020-04-10,59,100,60,Lockdown 1.0
13,2020-04-11,90,97,54,Lockdown 1.0
14,2020-04-12,87,163,93,Lockdown 1.0
15,2020-04-13,89,139,79,Lockdown 1.0
16,2020-04-14,111,108,70,Lockdown 1.0
17,2020-04-15,94,152,83,Lockdown 1.0
18,2020-04-16,92,188,113,Lockdown 1.0
19,2020-04-17,98,143,97,Lockdown 1.0
