,Unnamed: 0,id,conversation_id,created_at,date,timezone,place,tweet,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,labels
0,0,1242881400186892291,1242881400186892291,1585160992000,2020-03-25 23:59:52,530,,"Business Standard: End of coronavirus pandemic is near, says Nobel laureate Michael Levitt.
 https://www.business-standard.com/article/current-affairs/end-of-coronavirus-pandemic-is-near-says-nobel-laureate-michael-levitt-120032400668_1.html …",[],[],869018357432950785,869018357432950785,Dharmendra41049,Dharmendra Kumar,3,23,https://twitter.com/Dharmendra41049/status/1242881400186892291,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '869018357432950785', 'username': 'Dharmendra41049'}]",,,,,busi   standard   end   coronaviru   pandem   near   say   nobel   laureat   michael   levitt   http   ww   busi   standard      articl   current   affair   end   coronaviru   pandem   near   say   nobel   laureat   michael   levitt   html  ,0
1,1,1242881390712143872,1242881390712143872,1585160989000,2020-03-25 23:59:49,530,,"Designed By:- The Rohit Sharma
.
#therohitsharmapdt #graphicdesigncommunity #graphicdesign #graphicdesigncentral #inovation #inovativedesign #graphicart #digitalart #digitaldesign #logodesigner #corona #coronavirus…  https://www.instagram.com/p/B-Kq4LhHhPM/?igshid=2akp5zte3uwt …","['#therohitsharmapdt', '#graphicdesigncommunity', '#graphicdesign', '#graphicdesigncentral', '#inovation', '#inovativedesign', '#graphicart', '#digitalart', '#digitaldesign', '#logodesigner', '#corona', '#coronavirus']",[],969105551270428672,969105551270428672,therohitsharmap,Rohit Sharma,3,23,https://twitter.com/therohitsharmap/status/1242881390712143872,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '969105551270428672', 'username': 'therohitsharmap'}]",,,,,design   rohit   sharma   therohitsharmapdt   graphicdesignmun   graphicdesign   graphicdesigncentr   inov   inovativedesign   graphicart   digitalart   digitaldesign   logodesign   corona   coronaviru   http   ww   instagram      p   b   kqlhhpm   igshid   akpzteuwt  ,-1
2,2,1242881383518748672,1242881383518748672,1585160988000,2020-03-25 23:59:48,530,,@AUThackeray Sir thank you so much for All your Care But some of us are still not following order of the time . My neighbours are treating this lockdown as vacation . There relatives staying in nearby areas are frequent visitors and till late night they have gala time .,[],[],2226621902,2226621902,amazingrups,Rupali Gurav,3,23,https://twitter.com/amazingrups/status/1242881383518748672,False,0,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2226621902', 'username': 'amazingrups'}, {'user_id': '1606048885', 'username': 'AUThackeray'}]",,,,,sir   thank   much   care   u   still   follow   order   time   neighbour   treat   lockdown   vacat   rel   stay   nearbi   area   frequent   visitor   till   late   night   gala   time  ,-1
3,3,1242881339382042624,1242824467019001862,1585160977000,2020-03-25 23:59:37,530,,"Indian Govt has not allowed cheap Elisa and rapid test n choosen expensive PCR. Private capped at 4500, not many can afford. 
Strategy, less testing, less cases, Govt looks good. Control thru lockdown. 
But without testing it will not end n may reoccur after lockdown.",[],[],39454122,39454122,lovekeshchandra,Lovekesh Chandra,3,23,https://twitter.com/lovekeshchandra/status/1242881339382042624,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '39454122', 'username': 'lovekeshchandra'}, {'user_id': '45261768', 'username': 'srivatsayb'}, {'user_id': '935835219612987393', 'username': '4PatientCare'}]",,,,,indian   govt   allow   cheap   elisa   rapid   test   n   choosen   expens   pcr   privat   cap   mani   afford   strategi   le   test   le   case   govt   look   good   control   thru   lockdown   without   test   end   n   may   reoccur   lockdown  ,-1
4,4,1242881321774354432,1242881321774354432,1585160973000,2020-03-25 23:59:33,530,,Coronavirus killing all the people but beyandh2 killing us with Vikram part please show some positive vibes difficult to see maya in dis conditions that too for 2 weeks #Beyhadh2,['#beyhadh2'],[],1310490444,1310490444,brindhu87,Babitha,3,23,https://twitter.com/brindhu87/status/1242881321774354432,False,5,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1310490444', 'username': 'brindhu87'}]",,,,,coronaviru   kill   peopl   beyandh   kill   u   vikram   part   pleas   show   posit   vibe   difficult   see   maya   di   condit   week   beyhadh  ,-1
5,5,1242881320214118400,1242845281923690498,1585160973000,2020-03-25 23:59:33,530,,"#StrangerThanFiction
#TheEyesOfDarkness
Now British secret agents James Bond 007 enters in China with his girl friend n solves the death of doctor n gets #Antidose of #Corona n the lock out countries opens to normalcy killing the virus n
#JamesBond0 landed in #TajMahal with girlf pic.twitter.com/Bayyecb9Nc","['#strangerthanfiction', '#theeyesofdarkness', '#antidose', '#corona', '#jamesbond0', '#tajmahal']",[],751732004131991552,751732004131991552,Chakradhar2311,Chakradhar Mohanta,3,23,https://twitter.com/Chakradhar2311/status/1242881320214118400,False,0,2,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '751732004131991552', 'username': 'Chakradhar2311'}]",,,,,strangerthanfict   theeyesofdark   british   secret   agent   jame   bond   enter   china   girl   friend   n   solv   death   doctor   n   get   antidos   corona   n   lock   countri   open   normalci   kill   viru   n   jamesbond   land   tajmah   girlf      twitter      bayyecbnc  ,-1
6,6,1243243797724581888,1243243797724581888,1585247394000,2020-03-26 23:59:54,530,,"@narendramodi 
Sir there are essential facilities (n95 mask corona kit ) provided by hospital administration to nursing staff on Corona opd duty &no risk cover given to contractual nursing staff",[],[],775754487122190336,775754487122190336,Dilipsharma87,Dilip Sharma,4,23,https://twitter.com/Dilipsharma87/status/1243243797724581888,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '775754487122190336', 'username': 'Dilipsharma87'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,,,,sir   essenti   facil   n   mask   corona   kit   provid   hospit   administr   nurs   staff   corona   opd   duti   risk   cover   given   contractu   nurs   staff  ,1
7,7,1244330962764189696,1244330962764189696,1585506594000,2020-03-29 23:59:54,530,,"me : alright time to sleep
my brain : Top 50 mistakes you've made

#MEMES #nightthoughts #Covid_19india #Quarantine","['#memes', '#nightthoughts', '#covid_19india', '#quarantine']",[],727431639396147200,727431639396147200,Sandeepraathore,Sandeep Singh Rathore,7,23,https://twitter.com/Sandeepraathore/status/1244330962764189696,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '727431639396147200', 'username': 'Sandeepraathore'}]",,,,,alright   time   sleep   brain   top   mistak   made   meme   nightthought   covid   india   quarantin  ,-1
8,8,1244330944296710144,1244301861781475328,1585506590000,2020-03-29 23:59:50,530,,Dear Mr president you're already failing with almost 140000 Corona cases in your country.,[],[],807213935933857792,807213935933857792,ghimire_lomas,@lomasg,7,23,https://twitter.com/ghimire_lomas/status/1244330944296710144,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '807213935933857792', 'username': 'ghimire_lomas'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,,dear   mr   presid   alreadi   fail   almost   corona   case   countri  ,-1
9,9,1244330903880364032,1244330903880364032,1585506580000,2020-03-29 23:59:40,530,,"@PMOIndia @narendramodi @CMOMaharashtra the communication put out to prevent Covid 19 is wrong, you should not use handkerchief to cover mouth to sneeze or cough as continuous use allows virus to stay on hand and other surfaces the wrong info will lead to spread, pls",[],[],102577526,102577526,sona158,X,7,23,https://twitter.com/sona158/status/1244330903880364032,False,0,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '102577526', 'username': 'sona158'}, {'user_id': '471741741', 'username': 'PMOIndia'}, {'user_id': '18839785', 'username': 'narendramodi'}, {'user_id': '2597666894', 'username': 'CMOMaharashtra'}]",,,,,mun   put   prevent   covid   wrong   use   handkerchief   cover   mouth   sneez   cough   continu   use   allow   viru   stay   hand   surfac   wrong   info   lead   spread   pl  ,-1
